condition,prompt_key,rep,timestamp_utc,gpu_decode_tps,gpu_ttft_ms,gpu_decode_time_s,gpu_total_time_s,gpu_prompt_tokens,gpu_completion_tokens,first_50_tokens_mean_ms,npu_model,npu_tps,power_pre_w,power_post_w,temp_pre_c,temp_post_c
A,512,1,2026-08-26T10:09:16.046621+00:00,73.79,732.25,3.456,4.188,539,256,13.66,none,0.0,121.03,107.07,51.0,54.0
B,512,1,2026-08-26T10:09:22.047833+00:00,64.55,38.65,3.95,3.989,539,256,15.4,lfm2.5-tk:1.2b,49.79,47.06,118.08,37.0,50.0
C,512,1,2026-08-26T10:09:27.738991+00:00,69.91,36.63,3.648,3.684,539,256,13.51,qwen3.5:0.8b,11.7,48.05,114.01,37.0,52.0
D,512,1,2026-08-26T10:09:34.127263+00:00,70.51,37.73,3.616,3.654,539,256,13.9,lfm2.5-tk:1.2b,10.74,46.09,65.04,38.0,38.0
E,512,1,2026-08-26T10:09:39.548226+00:00,73.43,35.99,3.473,3.509,539,256,13.52,lfm2.5-tk:1.2b (resident idle),0.0,35.07,116.03,37.0,54.0
G,512,1,2026-08-26T10:09:55.055618+00:00,73.81,36.61,3.455,3.492,539,256,13.48,lfm2.5-tk:1.2b (tool window),47.46,45.04,100.09,37.0,50.0
A,2K,1,2026-08-26T10:10:01.965652+00:00,71.39,1836.97,3.572,5.409,2097,256,14.03,none,0.0,41.09,104.02,36.0,54.0
B,2K,1,2026-08-26T10:10:07.879850+00:00,65.91,38.01,3.869,3.907,2097,256,13.99,lfm2.5-tk:1.2b,25.16,46.01,108.05,38.0,48.0
C,2K,1,2026-08-26T10:10:13.495791+00:00,71.34,38.8,3.574,3.613,2097,256,13.7,qwen3.5:0.8b,0.0,47.08,116.01,38.0,52.0
D,2K,1,2026-08-26T10:10:20.000894+00:00,71.5,39.3,3.566,3.606,2097,256,14.0,lfm2.5-tk:1.2b,0.0,47.03,60.04,38.0,38.0
E,2K,1,2026-08-26T10:10:25.091099+00:00,71.88,38.81,3.548,3.586,2097,256,13.83,lfm2.5-tk:1.2b (resident idle),0.0,36.01,97.03,37.0,51.0
G,2K,1,2026-08-26T10:10:40.688487+00:00,71.85,38.64,3.549,3.588,2097,256,13.86,lfm2.5-tk:1.2b (tool window),0.0,38.0,104.07,36.0,50.0
A,8K,1,2026-08-26T10:10:50.179670+00:00,68.85,4286.3,3.704,7.99,6607,256,14.66,none,0.0,42.09,104.02,35.0,54.0
B,8K,1,2026-08-26T10:10:55.965786+00:00,68.32,46.08,3.732,3.778,6607,256,14.56,lfm2.5-tk:1.2b,0.0,44.06,116.06,38.0,51.0
C,8K,1,2026-08-26T10:11:01.742209+00:00,68.51,47.32,3.722,3.769,6607,256,14.5,qwen3.5:0.8b,0.0,49.04,121.07,38.0,52.0
